"Batter","Season","PA","AB","BBE","xwOBA","xwOBACON"
"Garcia, Esteban","2026",12,12,9,0.39,0.52
"Jefferson, David","2024",369,328,282,0.39,0.419
"Parsons, JJ","2026",147,116,90,0.39,0.437
"Plasschaert, Zach","2024",344,310,224,0.39,0.525
"Rao, Santino","2024",138,136,108,0.39,0.485
"Bozzo, Gregory","2024",225,217,199,0.389,0.426
"Kaufer, Max","2025",302,278,238,0.389,0.436
"Lewis, Andreaus","2025",390,346,272,0.389,0.457
"Seeker, Scott","2024",376,340,294,0.389,0.413
"Dossa, Kaiden","2025",217,204,160,0.388,0.47
"Jimenez, Ramon","2022",375,351,315,0.388,0.418
"Lemery, Alex","2021",18,16,12,0.388,0.467
"Miller, Hayden","2023",283,246,200,0.388,0.422
"Ruggiero, Anthony","2026",187,150,114,0.388,0.468
"Sencaj, Brendan","2025",512,458,393,0.388,0.431
"Tiroly, Joe","2025",230,215,185,0.388,0.426
"Dux, Shane","2024",33,26,20,0.387,0.397
"Kea, Jaydon","2025",512,467,413,0.387,0.415
"Landwehr, Parker","2021",53,50,46,0.387,0.401
"Norton, Brennen","2024",385,370,328,0.387,0.422
"Ruiz, Matthew","2023",128,124,108,0.387,0.433
"Bradley, Samuel","2026",132,119,99,0.386,0.424
"Delamielleure, Blake","2023",459,427,337,0.386,0.469
"Farquhar, Trent","2022",650,567,513,0.386,0.377
"Grech, Justin","2021",190,173,159,0.386,0.401
"Reader, Troy","2025",73,54,48,0.386,0.443
"Hussey, Danny","2023",207,191,157,0.385,0.437
"Sparr, Grayson","2025",239,218,182,0.385,0.426
"Beckstein, Luke","2023",460,360,328,0.384,0.382
"Magoulick, Charley","2026",86,81,60,0.384,0.517
"Burgos, Jorge","2024",153,133,121,0.383,0.392
"Evasco, AJ","2025",233,221,199,0.383,0.407
"Merritt, Griffin","2021",19,19,13,0.383,0.56
"Preisano, Ryan","2025",430,400,352,0.383,0.413
"Stephens, Eli","2026",177,147,100,0.383,0.477
